dteday,Recency,Frequency,Monetary
2011-01-01,24,7944,23640
2011-01-02,23,3013,18423
2011-01-03,22,2640,29678
2011-01-04,23,2484,35926
2011-01-05,23,1886,36800
2011-01-06,23,2024,36938
2011-01-07,23,3404,34730
2011-01-08,24,1632,23016
2011-01-09,24,1296,19728
2011-01-10,24,984,31704
2011-01-11,22,946,27786
2011-01-12,22,550,25564
2011-01-13,24,912,33744
2011-01-14,23,1242,32683
2011-01-15,24,5328,29952
2011-01-16,24,6024,28896
2011-01-17,24,2808,24000
2011-01-18,12,108,8196
2011-01-19,23,1794,37950
2011-01-20,24,1992,46248
2011-01-21,24,1800,37032
2011-01-22,23,2139,22563
2011-01-23,23,3450,22678
2011-01-24,23,1978,32568
2011-01-25,23,4278,45655
2011-01-26,16,544,8096
2011-01-27,8,120,3448
2011-01-28,23,874,26841
2011-01-29,23,2829,25254
2011-01-30,23,3220,25208
2011-01-31,24,1008,36024
2011-02-01,23,1081,31280
2011-02-02,24,1728,36624
2011-02-03,23,1403,35650
2011-02-04,23,2024,39284
2011-02-05,24,2400,24120
2011-02-06,24,8496,38952
2011-02-07,24,2880,41088
2011-02-08,24,1536,36720
2011-02-09,23,1219,36915
2011-02-10,23,1081,35374
2011-02-11,22,3278,38412
2011-02-12,24,6912,35328
2011-02-13,23,9131,36547
2011-02-14,24,4992,45912
2011-02-15,23,3220,41745
2011-02-16,23,5014,48645
2011-02-17,24,6216,59400
2011-02-18,24,13896,70248
2011-02-19,24,12768,39240
2011-02-20,23,14697,41676
2011-02-21,24,4680,26568
2011-02-22,18,1332,26100
2011-02-23,23,3197,44091
2011-02-24,23,2300,41561
2011-02-25,23,2760,33603
2011-02-26,24,10176,47256
2011-02-27,23,15962,55246
2011-02-28,22,1782,31812
2011-03-01,24,3288,44424
2011-03-02,24,5544,51216
2011-03-03,24,2952,40440
2011-03-04,24,5136,46656
2011-03-05,24,15360,49848
2011-03-06,23,2622,13915
2011-03-07,23,5612,43056
2011-03-08,24,7584,51192
2011-03-09,24,4584,45384
2011-03-10,22,1012,13706
2011-03-11,23,5681,45471
2011-03-12,24,17376,51168
2011-03-13,23,22586,55591
2011-03-14,23,8257,47058
2011-03-15,23,6647,47288
2011-03-16,23,7383,50416
2011-03-17,24,10176,65856
2011-03-18,23,20332,74497
2011-03-19,24,34176,74808
2011-03-20,24,25128,59304
2011-03-21,23,9223,47771
2011-03-22,24,11040,64872
2011-03-23,23,4669,48783
2011-03-24,24,3984,44760
2011-03-25,24,7200,53040
2011-03-26,24,23544,59904
2011-03-27,23,10856,38939
2011-03-28,23,5106,46644
2011-03-29,24,7608,58200
2011-03-30,24,4032,36864
2011-03-31,24,4296,40440
2011-04-01,24,7368,53448
2011-04-02,24,21552,54048
2011-04-03,24,39624,77976
2011-04-04,24,17616,74760
2011-04-05,24,4008,43080
2011-04-06,24,9912,67392
2011-04-07,24,13704,75384
2011-04-08,24,4128,35304
2011-04-09,24,21096,58920
2011-04-10,24,28512,69480
2011-04-11,23,19665,77004
2011-04-12,24,6168,48816
2011-04-13,24,5016,51888
2011-04-14,24,12696,78408
2011-04-15,24,15408,75024
2011-04-16,24,2904,19080
2011-04-17,24,37392,89856
2011-04-18,24,16056,82296
2011-04-19,24,9816,76896
2011-04-20,24,14712,94656
2011-04-21,24,17880,100536
